,Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRNA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
48,Acidianus infernus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,31,,64,65,90,,,96,31
49,Acidianus manzaensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,30.6,2.7,61.4,60,80,,,90,30
50,Acidianus ambivalens,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,34.2,2.3,63.7,70,80,,,87,17
51,Acidianus sulfidivorans,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,31.1,2.3,60.7,45,74,,,83,38
52,Acidianus tengchongensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,38,,60.6,55,70,,,80,25
53,Acidianus brierleyi,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,31.9,2.9,60.4,45,70,,,75,30
65,Acidilobus aceticus,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,53.8,,66.1,60,85,,,92,32
66,Acidilobus saccharovorans,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,57.2,1.5,67.3,60,82.5,80,85,90,30
67,Acidilobus sulfurireducens,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,59.9,,67.7,62,81,,,89,27
77,Acidiplasma aeolicum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,36,,51.8,15,45,,,65,50
78,Acidiplasma cupricumulans,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,36,,51.8,22,53.6,,,63,41
104,Aciduliprofundum boonei,Archaea,Euryarchaeota,,,,Aciduliprofundum,39.2,1.5,62,55,70,,,75,20
255,Aeropyrum pernix,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,56.3,1.7,67.7,70,92.5,,,100,30
256,Aeropyrum camini,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,56.7,1.6,65.8,70,85,,,97,27
738,Archaeoglobus fulgidus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,48.6,2.2,63.9,60,83,,,90,30
739,Archaeoglobus profundus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,42,1.6,65.1,65,82,,,90,25
740,Archaeoglobus lithotrophicus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,40,,64.1,55,80,,,87,32
741,Archaeoglobus veneficus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,47,1.9,58.7,65,80,,,85,20
742,Archaeoglobus sulfaticallidus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,43.2,2.1,62.1,60,75,,,80,20
743,Archaeoglobus infectus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,45.9,,62.7,60,70,,,75,15
1362,Caldisphaera lagunensis,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,30,1.5,61.7,45,72.5,70,75,80,35
1363,Caldisphaera draconis,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,53.9,,61.7,60,71,70,72,79,19
1369,Caldivirga maquilingensis,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,43.1,2.1,65.7,60,85,,,92,32
1774,Conexivisphaera calidus,Archaea,Candidatus Geothermarchaeota,,,,Conexivisphaera,62.1,,63.3,60,65,,,70,10
1840,Cuniculiplasma divulgatum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Cuniculiplasmataceae,Cuniculiplasma,37.2,1.9,53.8,10,38.5,37,40,48,38
2101,Desulfurococcus amylolyticus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,44.8,1.4,65.5,68,91,90,92,97,29
2356,Ferroglobus placidus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,44.1,2.2,65.9,65,85,,,95,30
2357,Ferroplasma thermophilum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,34.1,,51.6,30,45,,,60,30
2358,Ferroplasma acidarmanus,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,36.5,1.9,51.2,23,42,,,46,23
2359,Ferroplasma acidiphilum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,36.5,1.8,51,20,35,,,45,25
2369,Fervidicoccus fontis,Archaea,Crenarchaeota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,37.5,1.3,62.4,55,67.5,65,70,85,30
2759,Geogemma barossii,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Geogemma,,,,85,106,,,121,36
2760,Geoglobus ahangari,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,53.1,1.8,64.5,65,88,,,90,25
2761,Geoglobus acetivorans,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,46.8,1.9,63.6,50,81,,,85,35
2914,Haladaptatus litoreus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,54,,56.9,25,38.5,37,40,55,30
2915,Haladaptatus cibarius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,56.5,,57.3,15,37,,,50,35
2916,Haladaptatus pallidirubidus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,57.4,,57.7,25,39.5,37,42,50,25
2917,Haladaptatus paucihalophilus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,60.5,,57.1,25,40,,,45,20
2919,Halalkalicoccus paucihalophilus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,60.4,,58.7,16,37,,,50,34
2920,Halalkalicoccus jeotgali,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,62.6,3.7,59.2,21,41,37,45,50,29
2921,Halalkalicoccus tibetensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,61.5,,58.8,23,40,,,47,24
2938,Halapricum salinum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,63.7,3.5,58.5,30,37,,,45,15
2939,Halarchaeum nitratireducens,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,61.2,,57.7,18,45,,,55,37
2940,Halarchaeum solikamskense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,66.4,,57.5,25,42.5,35,50,55,30
2941,Halarchaeum grantii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,65.2,,57.7,35,45,,,50,15
2942,Halarchaeum rubridurum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,63.2,,58.1,20,42.5,40,45,50,30
2943,Halarchaeum acidiphilum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,61.4,,57.3,15,37,,,45,30
2944,Halarchaeum salinum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,59.3,,57.2,15,42,,,42,27
2946,Halegenticoccus soli,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halegenticoccus,66.9,,59.3,25,37,,,50,25
2960,Haloarchaeobius iranensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,67.7,,57.4,25,40,,,55,30
2961,Haloarchaeobius salinus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,63.7,,58.1,25,37,,,50,25
2962,Haloarchaeobius amylolyticus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,65.3,,56.8,25,37,,,50,25
2963,Haloarchaeobius litoreus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,67.7,,57.4,25,37,,,50,25
2964,Haloarchaeobius baliensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,67.2,,57.6,20,43,42,44,48,28
2965,Haloarcula quadrata,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,60.1,,56.8,30,53,,,53,23
2966,Haloarcula amylolytica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,62.4,,57,20,41,,,52,32
2967,Haloarcula argentinensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,62,,57,20,45,,,50,30
2968,Haloarcula hispanica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,62.5,3.9,55.8,25,40,,,50,25
2969,Haloarcula japonica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,63.3,,54.3,24,45,,,45,21
2970,Haloarcula vallismortis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,64.7,,57.4,20,40,,,45,25
2971,Haloarcula salaria,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,61.6,,56.8,15,37,,,45,30
2972,Haloarcula tradensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,62.2,,57.8,15,37,,,45,30
2993,Halobacterium salinarum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,65.9,2.6,58.3,20,50,,,55,35
2994,Halobacterium jilantaiense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,64.2,,57.7,22,40,,,55,33
2995,Halobacterium hubeiense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,66.6,3.1,58.3,22,45,,,50,28
2996,Halobacterium noricense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,54.4,,58.2,28,45,,,50,22
