Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRMA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
Abditibacterium utsteinense,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abitibacteriaceae,Abditibacterium,54.3,,54,1,16.5,15,18,45,44
Absiella dolichum,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Absiella,39,,50.7,30,37,,,45,15
Absiella argi,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Absiella,35.8,,53,20,37,,,40,20
Abyssibacter profundi,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Abyssibacter,63.1,,53.9,10,37,,,45,35
Abyssicoccus albus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Abyssicoccus,42.4,,52.6,5,28,,,40,35
Abyssivirga alkaniphila,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Abyssivirga,31.7,,52.7,14,37,,,42,28
Acanthopleuribacter pedis,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,56.7,,56,15,30,,,30,15
Acaricomes phytoseiuli,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Acaricomes,57.7,,56.1,15,25,,,30,15
Acaryochloris marina,Bacteria,Cyanobacteria,,Synechococcales,Acaryochloridaceae,Acaryochloris,47,8.4,54.7,20,29,28,30,35,15
Acetanaerobacterium elongatum,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetanaerobacterium,50.4,,53.9,30,37,,,42,12
Acetitomaculum ruminis,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetitomaculum,34,,54.1,34,38,,,43,9
Acetoanaerobium sticklandii,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium,33.3,2.7,51.9,25,33.5,30,37,45,20
Acetoanaerobium pronyense,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium,40,,53.5,15,35,,,40,25
Acetobacter senegalensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,54.5,4,54.7,28,35,,,40,12
Acetobacter okinawensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,59.3,,55.6,10,30,,,37,27
Acetobacter papayae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,60.5,,55.5,10,30,,,37,27
Acetobacter sacchari,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,59.9,,55.8,20,29,25,33,37,17
Acetobacter suratthaniensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,59.6,,54.7,28,29.5,29,30,32,4
Acetobacter oryzifermentans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,52.8,3.127455,55.2,15,30,,,37,22
Acetobacterium wieringae,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,43,,53.1,20,30,,,45,25
Acetobacterium carbinolicum,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,38.5,,52.6,15,20,,,40,25
Acetobacterium malicum,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,44.1,,53,15,30,,,39,24
Acetobacterium fimetarium,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,45.8,,52.8,1,30,,,35,34
Acetobacterium tundrae,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,39.2,,53.7,1,20,,,30,29
Acetobacterium paludosum,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,41.7,,53.4,1,20,,,30,29
Acetobacterium bakii,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,42.1,,53.1,1,20,,,30,29
Acetobacteroides hydrogenigenes,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Acetobacteroides,51.2,,59.4,25,37,,,40,15
Acetohalobium arabaticum,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,36.6,2.5,53.2,30,39,38,40,47,17
Acetomicrobium flavidum,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,47,,59,35,58,,,65,30
Acetomicrobium hydrogeniformans,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,46.6,,59.1,40,55,,,65,25
Acetomicrobium mobile,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,48,2.2,59,35,57.5,55,60,65,30
Acetomicrobium thermoterrenum,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,44,,58.9,28,55,,,60,32
Acetonema longum,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Acetonema,51.5,,54.8,19,31.5,30,33,40,21
Acholeplasma laidlawii,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,31.9,1.5,48.7,20,37,,,41,21
Acholeplasma granularum,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,31.5,,49.3,22,37,,,37,15
Acholeplasma axanthum,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,28.1,1.9,48.9,22,37,,,37,15
Acholeplasma brassicae,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,35.8,1.9,49.6,18,30,,,37,19
Acholeplasma palmae,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,29,1.6,48.7,18,30,,,37,19
Acholeplasma morum,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,34,,49.1,23,36,35,37,37,14
Acholeplasma hippikon,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,31,1.5,48.6,22,36,35,37,37,15
Acholeplasma modicum,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,29.3,,48.4,22,36,35,37,37,15
Acholeplasma pleciae,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,31.6,,49.3,18,30,,,32,14
Achromobacter veterisilvae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,67.2,,55,4,32.5,28,37,45,41
Achromobacter aloeverae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,66.5,,55.1,20,33.5,30,37,42,22
Achromobacter panacis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,64.4,,54.6,4,30,,,40,36
Achromobacter piechaudii,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,64.5,,54.1,18,29,28,30,37,19
Acidaminobacter hydrogenoformans,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XII. Incertae Sedis,Acidaminobacter,48.1,,55.1,15,30,,,42,27
Acidaminococcus fermentans,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,55.8,2.3,53.7,25,33.5,30,37,45,20
Acidianus infernus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,31,,64,65,90,,,96,31
Acidianus manzaensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,30.6,2.7,61.4,60,80,,,90,30
Acidianus ambivalens,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,34.2,2.3,63.7,70,80,,,87,17
Acidianus sulfidivorans,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,31.1,2.3,60.7,45,74,,,83,38
Acidianus tengchongensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,38,,60.6,55,70,,,80,25
Acidianus brierleyi,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,31.9,2.9,60.4,45,70,,,75,30
Acidibacillus sulfuroxidans,Bacteria,Firmicutes,Bacilli,Bacillales,,Acidibacillus,,,58,30,40,,,50,20
