spp,wing,bill,weight
NESP,56,8.5,18.2
NESP,56,8.5,20.7
NESP,59,8.0,17.6
NESP,59,8.2,16.0
NESP,60,8.3,16.5
NESP,58,8.5,16.0
NESP,58,9.0,16.8
NESP,59,9.0,16.0
NESP,55,8.3,20.0
NESP,58,8.3,17.0
NESP,58,8.5,16.0
NESP,58,8.4,18.0
NESP,57,8.3,17.0
NESP,57,8.4,16.5
NESP,57,8.9,17.0
NESP,56,8.2,16.5
NESP,58,8.3,16.5
NESP,60,8.6,16.0
NESP,57,8.3,16.0
NESP,56,8.3,16.0
NESP,55,8.1,14.5
NESP,55,8.4,15.5
NESP,56,8.2,15.5
NESP,55,8.5,15.0
NESP,55,8.3,15.0
NESP,56,8.4,16.0
NESP,58,8.6,15.0
NESP,57,8.5,15.5
NESP,59,8.8,16.0
NESP,58,8.6,15.5
NESP,57,7.9,15.0
NESP,57,8.1,14.5
NESP,57,8.4,15.0
NESP,59,8.6,17.9
NESP,59,8.8,NA
NESP,59,8.6,17.8
NESP,NA,NA,NA
NESP,58,8.8,17
NESP,57,8.5,17.1
NESP,60,8.7,17.7
NESP,NA,NA,NA
NESP,NA,NA,NA
NESP,NA,NA,NA
NESP,NA,NA,NA
NESP,NA,NA,NA
SALS,55,9.9,18.6
SALS,NA,NA,NA
SALS,55,8.5,20.4
SALS,55,9.4,19.2
SALS,NA,NA,NA
SALS,NA,NA,NA
SALS,59,9.4,21.7
SALS,59,9.6,19.8
SALS,NA,NA,NA
SALS,60,9.8,NA
SALS,56,9.3,19.9
SALS,58,9.26,20.3
SALS,59,9.06,20.7
SALS,55,9.3,16.5
SALS,56,8.99,18
SALS,56,9.57,18.5
SALS,57,9.12,18
SALS,56,9.5,19
SALS,57,9.03,18.9
SALS,55,9.22,20.5
SALS,55,9.49,18.9
SALS,56,9.2,17.7
SALS,56,9.3,19.5
SALS,56,9.36,15.5
SALS,56.5,9.75,19.3
SALS,56,9.46,20
SALS,56,9.39,19.2
SALS,53,8.77,15.7
