domain,accession,GC_per,temp_cat
archaea,GCF_000337915.1,66.89 ,mesophilic
archaea,GCF_000022205.1,63.97 ,mesophilic
archaea,GCF_000337355.1,66.86 ,mesophilic
archaea,GCF_000337375.1,68.01 ,mesophilic
archaea,GCF_000336995.1,67.19 ,mesophilic
archaea,GCF_000337035.1,66.99 ,mesophilic
archaea,GCF_000336875.1,66.19 ,mesophilic
archaea,GCF_000337335.1,68.08 ,mesophilic
archaea,GCF_900111935.1,69.02 ,mesophilic
archaea,GCF_000337075.1,69.13 ,mesophilic
archaea,GCF_000337415.1,68.03 ,mesophilic
archaea,GCF_900182635.1,66.82 ,mesophilic
archaea,GCF_900188065.1,62.89 ,mesophilic
archaea,GCF_002355635.1,65.97 ,mesophilic
archaea,GCF_900109065.1,58.80 ,mesophilic
archaea,GCF_900129775.1,68.55 ,mesophilic
archaea,GCF_004799685.1,65.86 ,thermophilic
archaea,GCF_000237865.1,47.68 ,thermophilic
archaea,GCF_000172995.2,59.94 ,mesophilic
archaea,GCF_000337095.1,65.65 ,mesophilic
archaea,GCF_000025685.1,65.48 ,thermophilic
archaea,GCF_000337795.1,66.29 ,mesophilic
archaea,GCF_000336775.1,65.85 ,mesophilic
archaea,GCF_000336815.1,65.69 ,mesophilic
archaea,GCF_000306765.2,60.27 ,thermophilic
archaea,GCF_000337815.1,61.85 ,mesophilic
archaea,GCF_000336755.1,61.15 ,mesophilic
archaea,GCF_000336955.1,62.04 ,mesophilic
archaea,GCF_002906575.1,65.67 ,mesophilic
archaea,GCF_003856835.1,65.68 ,mesophilic
archaea,GCF_000427685.1,65.01 ,mesophilic
archaea,GCF_004799605.1,66.43 ,mesophilic
archaea,GCF_000230955.2,66.43 ,mesophilic
archaea,GCF_001488575.1,66.57 ,thermophilic
archaea,GCF_000337735.1,61.78 ,mesophilic
archaea,GCF_004799645.1,60.61 ,thermophilic
archaea,GCF_000383975.1,62.25 ,mesophilic
archaea,GCF_001971705.1,61.35 ,mesophilic
archaea,GCF_000337495.1,65.17 ,mesophilic
archaea,GCF_000025325.1,64.26 ,thermophilic
archaea,GCF_000337215.1,64.29 ,mesophilic
archaea,GCF_000337575.1,61.73 ,mesophilic
